epoch,train_loss,train_acc,test_loss,test_acc
1,1.8454712069320678,0.32346,1.5677360635757447,0.4279
2,1.6003490134811402,0.41786,1.4861061136245728,0.4632
3,1.5371953969573975,0.44236,1.4539190216064453,0.4733
4,1.524127781944275,0.45006,1.3829264806747437,0.505
5,1.5006125688171388,0.45966,1.3783319478988647,0.502
6,1.4872980946731567,0.46374,1.3886339023590089,0.5019
7,1.4861942530059815,0.46,1.4412277736663819,0.4721
8,1.5050456002044679,0.458,1.3324725828170776,0.5218
9,1.4739490990066528,0.46516,1.323778917312622,0.5296
10,1.4616954332733154,0.47098,1.3400814496994018,0.5201
11,1.4587705549240113,0.47354,1.309501482772827,0.5378
12,1.4562981714630128,0.47654,1.3954745462417601,0.5143
13,1.450860862197876,0.4802,1.3416914821624757,0.5187
14,1.4455588480377197,0.48014,1.2786856636047363,0.548
15,1.4538489317321777,0.48116,1.315366445350647,0.5394
16,1.4860243936157227,0.46902,1.3105680742263794,0.5308
17,1.4425668993759155,0.4783,1.3113457733154297,0.5372
18,1.4487706513214111,0.4759,1.3786734741210938,0.5051
19,1.4291919551467895,0.48284,1.3119900798797608,0.5372
20,1.4437602603912354,0.48114,1.259741804122925,0.556
