epoch,train_loss,train_acc,test_loss,test_acc
1,2.0573630228042603,0.2491,1.8283799295425416,0.3183
2,1.808153849182129,0.3266,1.6456665771484376,0.378
3,1.753247998008728,0.34604,1.6158345397949219,0.3985
4,1.721941413230896,0.36686,1.5776695816040038,0.4228
5,1.7048808489990235,0.37028,1.5212398496627808,0.4512
6,1.6865429331207276,0.37936,1.481686958694458,0.449
7,1.6720955381011964,0.3858,1.5646504203796388,0.4257
8,1.6756063533782959,0.38306,1.5534727085113524,0.4274
9,1.6735252333068849,0.3839,1.4908922216415406,0.4686
10,1.6613293509292602,0.3906,1.5141861679077149,0.451
11,1.660574383468628,0.38788,1.5027179416656493,0.4561
12,1.6742186321640016,0.38374,1.4785913095474243,0.4539
13,1.6540580016326905,0.3938,1.4502152013778686,0.4571
14,1.6618211807632446,0.39018,1.5403156909942628,0.4337
15,1.6527680168533325,0.39332,1.4511047771453858,0.4789
16,1.645100059890747,0.39646,1.43847534198761,0.4773
17,1.6513261923599243,0.39488,1.4823436264038086,0.4453
18,1.6383419089508056,0.40116,1.495237015724182,0.4499
19,1.6509938947296143,0.39756,1.4486223876953126,0.4687
20,1.6417471273422242,0.39988,1.4995165328979492,0.462
