epoch,train_loss,train_acc,test_loss,test_acc
1,2.0803882836151124,0.2287,1.789647598838806,0.3638
2,1.8214346895599365,0.33986,1.5701804725646973,0.428
3,1.6871508443450929,0.38696,1.5095456941604615,0.4568
4,1.6141029256820678,0.41464,1.4065279888153077,0.5012
5,1.5632627973175048,0.43602,1.3370622457504273,0.5173
6,1.5216406153869628,0.45132,1.2780111961364746,0.5414
7,1.4851566635894775,0.46554,1.254789323425293,0.5411
8,1.4516518106079102,0.477,1.224256973171234,0.5632
9,1.4208706899261474,0.48922,1.2024554361343385,0.5696
10,1.3847549717330934,0.50358,1.1307642597198486,0.6014
11,1.367606183242798,0.50876,1.1109876449584961,0.6076
12,1.3521447608184813,0.51576,1.0782893854141236,0.611
13,1.3337134902954102,0.52338,1.078674609375,0.6199
14,1.3183710289382935,0.5275,1.0492525255203247,0.6326
15,1.309831443862915,0.53334,1.0428013453483582,0.6284
16,1.2975196259307862,0.5399,1.0418389265060424,0.6349
17,1.2833650760650634,0.5448,1.1197743309020995,0.596
18,1.2782311374664306,0.54604,0.9917507829666138,0.6546
19,1.2591375436401366,0.55266,0.9647492932319641,0.6582
20,1.2543545852279663,0.55702,0.9729726590156555,0.6574
