epoch,train_loss,train_acc,test_loss,test_acc
1,1.9567125562286376,0.2868,1.6595897144317626,0.4048
2,1.5607059629058837,0.43864,1.4107039302825928,0.4848
3,1.393210672225952,0.49774,1.2663319400787354,0.5489
4,1.3098828198623658,0.52998,1.205306915473938,0.5761
5,1.2406870504379273,0.5571,1.1519119177818298,0.5984
6,1.1775763750839234,0.58036,1.1193829996109008,0.6051
7,1.1138219023132325,0.60238,1.0738257904052735,0.6176
8,1.070581941833496,0.61852,1.0231942397117615,0.6371
9,1.030339531364441,0.63532,0.9935429817199707,0.6441
10,0.9900466967391968,0.65002,0.9499927408218384,0.6665
11,0.9637177305793763,0.66046,0.9340457020759583,0.6675
12,0.9254747213745117,0.67558,0.9082785024642944,0.6792
13,0.908202090473175,0.6779,0.9268069096565247,0.6748
14,0.8821638398742676,0.68774,0.8835061459541321,0.6887
15,0.8548155406951904,0.69706,0.8872944156646728,0.6871
16,0.8442007188415528,0.70044,0.8849920805931091,0.6918
17,0.8165878020095825,0.70872,0.8710031011581421,0.6989
18,0.7962540114593506,0.718,0.8807716882705688,0.6914
19,0.7728271597862244,0.72794,0.852915700340271,0.7069
20,0.758258864402771,0.7303,0.8573900122642517,0.7003
