epoch,train_loss,train_acc,test_loss,test_acc
1,1.7729383182525635,0.35124,1.5228908493041993,0.4427
2,1.430595055770874,0.482,1.38000087184906,0.5018
3,1.32311696308136,0.52478,1.313341820716858,0.5259
4,1.2678979627990723,0.54632,1.2857267393112182,0.5393
5,1.2276857889556885,0.56124,1.299703761291504,0.5393
6,1.1998348657989502,0.57262,1.2608893209457397,0.5565
7,1.1683492805480957,0.58382,1.27673601436615,0.5546
8,1.157327294807434,0.5878,1.2376579500198364,0.5654
9,1.131808783454895,0.59764,1.2557779052734375,0.5572
10,1.123384162902832,0.60062,1.2491890354156494,0.5573
