epoch,train_loss,train_acc,test_loss,test_acc
1,1.8785975454711914,0.30716,1.543831322669983,0.4375
2,1.6268331103515625,0.40026,1.5018853443145752,0.4532
3,1.5749516596221924,0.42014,1.5034992160797118,0.452
4,1.5602307732009888,0.42962,1.4366535945892334,0.477
5,1.5448442478561402,0.43214,1.439453507232666,0.4691
6,1.5286526789474488,0.43836,1.4527703874588012,0.4671
7,1.5160772939300537,0.4433,1.4506785593032836,0.4667
8,1.5187876448822022,0.44144,1.4333687414169312,0.4782
9,1.5096457154083252,0.44728,1.4133702894210816,0.4894
10,1.495245510482788,0.45166,1.411236897277832,0.4835
