epoch,train_loss,train_acc,test_loss,test_acc
1,2.0651948305892947,0.24042,1.729777430343628,0.3836
2,1.7303296995544433,0.37548,1.49167406539917,0.4667
3,1.5553171773147583,0.4367,1.3456432037353516,0.5205
4,1.4635125664901734,0.47256,1.2475262697219849,0.5611
5,1.3722680527114868,0.50766,1.1914715614318847,0.5746
6,1.3082861290740966,0.53284,1.121172977924347,0.5981
7,1.2505797283554076,0.5567,1.1289072477340698,0.5922
8,1.2003705361175536,0.57516,1.0124303802490235,0.6468
9,1.1683612518310547,0.58702,0.9980959354400635,0.65
10,1.1325882072067261,0.6023,0.9680170437812805,0.6691
