epoch,train_loss,train_acc,test_loss,test_acc
1,1.9007139762496947,0.30904,1.5374012899398803,0.4448
2,1.4438594173431396,0.48224,1.360331530570984,0.5054
3,1.2486270139312745,0.5548,1.1819912509918213,0.5701
4,1.1134616537475586,0.60458,1.0598442848205567,0.6256
5,0.9943869771957398,0.6509,0.9994649070739746,0.6511
6,0.9061599386596679,0.68082,0.9807863761901855,0.6526
7,0.832235673122406,0.70842,0.9603629438400269,0.6641
8,0.7533782648849487,0.7388,0.9113856033325195,0.6857
9,0.6814181573486328,0.76166,0.9031674418449401,0.6972
10,0.6241655448532104,0.78184,0.8935547742843628,0.6974
