epoch,train_loss,train_acc,test_loss,test_acc
1,2.029623507652283,0.2529,1.688811130142212,0.3927
2,1.6488482897186278,0.40018,1.4374095891952514,0.4752
3,1.4772799210739136,0.46326,1.3251022443771363,0.5178
4,1.3625635675048828,0.50938,1.2472985363006592,0.5517
5,1.2698390966033934,0.54114,1.1421482133865357,0.5942
6,1.1823028423309325,0.57602,1.0808060108184814,0.6158
7,1.118297325630188,0.60142,0.9704109483718872,0.6591
8,1.0673625009155274,0.62172,0.9435201133728027,0.6721
9,1.0345378282928466,0.6332,0.9358344539642334,0.6687
10,0.9860974870300293,0.65256,0.950194506072998,0.6674
