epoch,train_loss,train_acc,test_loss,test_acc
1,2.0559358141326904,0.24472,1.828050934791565,0.3374
2,1.857869116783142,0.3182,1.6779026025772095,0.3909
3,1.7681750354385375,0.35418,1.6347509387969972,0.4094
4,1.7275719815826416,0.37254,1.6000082025527953,0.4225
5,1.699682864151001,0.37816,1.571951426887512,0.4362
6,1.6953852003860475,0.38134,1.582085866355896,0.4284
7,1.6721481609344482,0.392,1.584311390686035,0.4267
8,1.6576726916885376,0.39738,1.5268918621063232,0.443
9,1.6475247369384765,0.402,1.5393544744491576,0.4441
10,1.6505113174819945,0.39736,1.5213500274658203,0.4427
