epoch,train_loss,train_acc,test_loss,test_acc
1,1.9121077362060548,0.28534,1.6980935123443603,0.3717
2,1.634671248512268,0.3994,1.5801765157699585,0.4126
3,1.5572229358291625,0.43102,1.4792659259796141,0.4583
4,1.5200784818267823,0.44598,1.4566459318161011,0.4732
5,1.4923802797317505,0.4583,1.3978405960083007,0.4928
6,1.4686766564178466,0.46806,1.3776366807937621,0.503
7,1.4700688259124757,0.46884,1.3533947219848632,0.5163
8,1.4470393926620484,0.4773,1.345004845237732,0.5178
9,1.4390167654800414,0.47734,1.3564238325119018,0.5147
10,1.4347680015182496,0.48004,1.3694934066772462,0.5101
