epoch,train_loss,train_acc,test_loss,test_acc
1,1.9422726140975952,0.28742,1.637837126159668,0.4084
2,1.4907189490509034,0.46088,1.3707801050186157,0.5124
3,1.2916603052902222,0.5373,1.1907301538467407,0.5763
4,1.1448502359771728,0.59362,1.0813807232856751,0.6132
5,1.0147696270942688,0.64488,0.9749312539100647,0.658
6,0.9084624612808228,0.68092,0.971125221824646,0.6546
7,0.8264397340011597,0.70914,0.9333860067367554,0.6724
8,0.7552365953445435,0.73546,0.9200770247459411,0.6771
9,0.6857615605545044,0.76032,0.8947711204528809,0.6944
10,0.6202431632995605,0.78266,0.8700129133224487,0.7058
