epoch,train_loss,train_acc,test_loss,test_acc
1,2.009225925979614,0.26266,1.6814233026504517,0.3895
2,1.6603656655120849,0.39688,1.4227338985443114,0.4802
3,1.4855073391342164,0.45954,1.3364979927062988,0.5176
4,1.3897099987411499,0.49994,1.2245563619613646,0.562
5,1.2903345095443726,0.5355,1.2043679784774781,0.5667
6,1.2084671304321288,0.57048,1.0968135701179504,0.6135
7,1.1449422802734375,0.5905,1.0201958515167235,0.6367
8,1.0922849000167847,0.61064,0.9836806530952453,0.6468
9,1.0471580500793456,0.62822,0.9301959774017334,0.6716
10,1.0136299449157715,0.64068,0.9022101957321167,0.6859
