epoch,train_loss,train_acc,test_loss,test_acc
1,2.0259005422592162,0.26528,1.7835535663604736,0.3501
2,1.867787606163025,0.313,1.7164635316848755,0.3679
3,1.8262985235214233,0.33078,1.6985314193725587,0.3729
4,1.8109176992416383,0.33478,1.6716279788970947,0.3847
5,1.7937457250976563,0.34112,1.6525777326583861,0.3855
6,1.7862395941925049,0.3438,1.6767313753128053,0.3771
7,1.7756537421417236,0.34192,1.649860231399536,0.3899
8,1.7808906607055663,0.34136,1.642415731048584,0.3915
9,1.7794113501358033,0.33866,1.6533834308624267,0.3913
10,1.7733372591781615,0.34298,1.679184874534607,0.3706
11,1.7687813821411134,0.34438,1.6319498205184937,0.3919
12,1.7672993996810913,0.34524,1.5924089086532593,0.4055
13,1.7586094732284545,0.34774,1.5894474613189697,0.4183
14,1.7682015967178344,0.34308,1.6354400550842285,0.3904
15,1.7509896782684327,0.35068,1.6326687992095947,0.3796
16,1.7584374965667724,0.34796,1.633549732208252,0.3948
17,1.7580876070785523,0.35102,1.5947255432128906,0.4044
18,1.750145943069458,0.35058,1.5891325847625732,0.418
19,1.7573828769683837,0.3461,1.5960699188232421,0.4032
20,1.7578185536956787,0.3469,1.5921159523010253,0.4039
