epoch,train_loss,train_acc,test_loss,test_acc
1,1.8653128273773194,0.32796,1.611533346939087,0.3995
2,1.612140337791443,0.41292,1.623063315963745,0.4098
3,1.5402255586242677,0.44038,1.4548933393478394,0.4697
4,1.5275923446655273,0.44896,1.440786859703064,0.4802
5,1.4979061844635009,0.45434,1.417161144065857,0.4818
6,1.4915729135131837,0.46008,1.3997222789764405,0.4988
7,1.4728927141571044,0.46468,1.387175965309143,0.4972
8,1.4769946060943604,0.46384,1.466834031867981,0.4687
9,1.4653232444000244,0.46896,1.4313162572860718,0.4816
10,1.4634774406433106,0.47178,1.3978804470062256,0.4935
11,1.464304472732544,0.47028,1.4218554107666015,0.4782
12,1.4602648656463624,0.47172,1.4064278043746947,0.4873
13,1.4479452781295776,0.47628,1.4901286466598511,0.4706
14,1.4542893864059447,0.47666,1.3517237024307251,0.5077
15,1.4511225904846192,0.4727,1.3578523971557617,0.5074
16,1.4690848288726808,0.47104,1.3588831977844238,0.5053
17,1.4494867483520508,0.47718,1.3755928480148316,0.5045
18,1.460067735671997,0.4717,1.3654316268920899,0.5149
19,1.4619887506103515,0.47406,1.3814095928192138,0.5031
20,1.4534882698059082,0.47412,1.34085482711792,0.5189
