epoch,train_loss,train_acc,test_loss,test_acc
1,1.9290429125213624,0.29754,1.6215127836227416,0.4071
2,1.7239283940124512,0.36334,1.738866775894165,0.3631
3,1.6748943075942992,0.38214,1.5513272310256958,0.4274
4,1.6455059506988525,0.39562,1.508594535446167,0.4514
5,1.624495430870056,0.40286,1.5517113952636719,0.4313
6,1.6052836887359618,0.41002,1.50381274394989,0.4484
7,1.6106374563980101,0.40804,1.5364446432113648,0.4302
8,1.5953116985702516,0.41482,1.4611921619415282,0.4639
9,1.5824666970062256,0.4168,1.4630669622421264,0.4662
10,1.5835675071334838,0.4205,1.4603066038131713,0.4595
11,1.5734461785125733,0.42412,1.4167298784255982,0.4862
12,1.5816114051818848,0.42086,1.4909738641738892,0.4603
13,1.5812189110946655,0.42152,1.4088649713516235,0.4889
14,1.5847568724822998,0.42022,1.4178233968734741,0.4823
15,1.576828946876526,0.42272,1.4326917642593384,0.4809
16,1.576308758392334,0.42412,1.4116268701553345,0.4911
17,1.5560429149246215,0.43062,1.4361749185562134,0.4727
18,1.5523672427749633,0.43476,1.4626990962982178,0.4581
19,1.5581282339859008,0.42906,1.4140942724227905,0.4822
20,1.5584481320190429,0.42816,1.4160622207641602,0.4934
