epoch,train_loss,train_acc,test_loss,test_acc
1,2.0498613494491575,0.24344,1.827182295036316,0.3315
2,1.7751250897216797,0.35796,1.5328051206588744,0.4525
3,1.6295417392730713,0.40922,1.4538747985839844,0.4708
4,1.556714581451416,0.4379,1.3427102214813234,0.5272
5,1.5068591191864014,0.45632,1.3105488367080689,0.5268
6,1.4472922039413452,0.48044,1.2710780916213988,0.5427
7,1.416664746017456,0.49122,1.184156767177582,0.5828
8,1.3932555706787109,0.50056,1.1800921089172363,0.5861
9,1.354030286064148,0.51452,1.11541519241333,0.6093
10,1.3268484888839722,0.52786,1.0645180792808533,0.6262
11,1.2946206281661987,0.53744,1.0727122479438782,0.621
12,1.2794264878082275,0.54414,1.044085719871521,0.6339
13,1.2605588024902343,0.55172,1.0073520627975463,0.6379
14,1.2451800212478639,0.55708,0.989365707397461,0.6558
15,1.2263247829437256,0.56498,0.9746960914611816,0.6631
16,1.2118944458770753,0.56814,0.9805354339599609,0.6508
17,1.2089972533798217,0.57022,0.9678337673187256,0.6643
18,1.1906279234695434,0.57802,0.9852053064346313,0.6507
19,1.1747162343597413,0.58308,0.9369933985710144,0.6728
20,1.160263595199585,0.58824,0.9429312159538269,0.6703
