epoch,train_loss,train_acc,test_loss,test_acc
1,2.0053396127319334,0.26608,1.7093295513153077,0.3923
2,1.5551787852859498,0.44096,1.4028151916503906,0.4985
3,1.3658983665466309,0.51162,1.303923954963684,0.5425
4,1.2634439575958252,0.54832,1.163003251361847,0.5884
5,1.1752150338745118,0.58098,1.1534721800804137,0.5867
6,1.0963337196731568,0.6116,1.0367407133102418,0.6368
7,1.0309874046707153,0.6359,1.01473597574234,0.6424
8,0.9726004527282714,0.65736,0.9714125958442688,0.6589
9,0.9323004844665528,0.67234,0.9494790088653564,0.6647
10,0.8843243282318115,0.68848,0.9313362251281738,0.6754
11,0.8454029673957825,0.70276,0.9059185691833496,0.6839
12,0.8084154852294921,0.71458,0.9137783187866211,0.6844
13,0.7736339636802674,0.72754,0.8896457827568054,0.6905
14,0.7404502736854554,0.7391,0.9187201057434082,0.6847
15,0.7178288528823853,0.74732,0.8655570640563964,0.7029
16,0.6816242917251587,0.7612,0.902590276145935,0.6944
17,0.6591360913085937,0.7693,0.9042986038208007,0.6946
18,0.6323869649124145,0.77696,0.8995812829971314,0.7046
19,0.6078444783401489,0.78464,0.9112963752746582,0.7003
20,0.5815039796447754,0.79348,0.8971220227241516,0.7013
