epoch,train_loss,train_acc,test_loss,test_acc
1,2.035904112930298,0.2552,1.7296793979644776,0.3902
2,1.708837389717102,0.3825,1.4909840774536134,0.4608
3,1.539429332046509,0.4392,1.3871454195022583,0.5077
4,1.4547308851242065,0.47234,1.304142402458191,0.5314
5,1.38470291431427,0.50112,1.2006133085250854,0.5736
6,1.3219089529800414,0.52174,1.1560321960449218,0.5886
7,1.2655390045928956,0.54448,1.0789848009109497,0.62
8,1.2301358563995362,0.56088,1.0741067754745484,0.615
9,1.1941656197357178,0.57536,1.0340390792846679,0.6317
10,1.1679337029647827,0.58268,0.9948765556335449,0.6496
11,1.1529586157226563,0.58736,0.9822504173278809,0.6523
12,1.120876918144226,0.59952,0.9725488736152649,0.6542
13,1.100623334312439,0.6071,0.9678766529083251,0.6636
14,1.0869316192626952,0.61298,0.9187479448318482,0.6743
15,1.066665187110901,0.6217,0.9006691802978516,0.6889
16,1.0647497671890258,0.62334,0.8880218561172485,0.6859
17,1.0438396575164794,0.62966,0.8780597747802734,0.6906
18,1.0385048112487794,0.63038,0.8763846193313599,0.6939
19,1.0159992222976684,0.64046,0.8701905465126037,0.6895
20,1.0131669343566894,0.64074,0.8963505390167237,0.6791
