epoch,train_loss,train_acc,test_loss,test_acc
1,2.0723634432601927,0.23022,1.876600818824768,0.3199
2,1.9161218788909913,0.29064,1.731086205482483,0.3617
3,1.8448259813690187,0.3195,1.6460390392303468,0.3999
4,1.8053451504135132,0.33482,1.5930611736297609,0.4099
5,1.7892016728973388,0.34036,1.601932553291321,0.4121
6,1.7877225128936767,0.33872,1.9846259342193604,0.3256
7,1.7722377728652954,0.34716,1.5737567417144775,0.4181
8,1.7613219201278687,0.34792,1.6388108669281005,0.3857
9,1.7486019417953491,0.35528,1.6210294721603393,0.3986
10,1.7620320590209961,0.34984,1.6138639379501343,0.3982
11,1.7493324411010742,0.35366,1.592185188484192,0.4078
12,1.745043455810547,0.35408,1.6113332284927369,0.4106
13,1.7523625258636475,0.3513,1.5707368755340576,0.4204
14,1.7393008434677124,0.3585,1.5894966974258422,0.4125
15,1.7469453559112549,0.35858,1.6415567993164062,0.3921
16,1.7383291018295288,0.35804,1.6457257890701293,0.3887
17,1.7539940619659424,0.35182,1.649910280227661,0.3902
18,1.7417138710403441,0.35358,1.6048244901657105,0.4027
19,1.7405921878814696,0.3585,1.540078621673584,0.4284
20,1.7527848522567748,0.3491,1.5630715839385987,0.4209
