epoch,train_loss,train_acc,test_loss,test_acc
1,1.7538864451980591,0.3666,1.5667252685546875,0.4474
2,1.5012665232467652,0.4559,1.4435671327590942,0.4801
3,1.4560056861877442,0.47398,1.3615544191360474,0.511
4,1.4221073620223998,0.48824,1.344312677192688,0.5162
5,1.3943471972274781,0.49968,1.3266402479171753,0.5221
6,1.3839806178665162,0.50374,1.3004958406448364,0.5295
7,1.3604061797332763,0.51462,1.3282047555923462,0.5269
8,1.3528923289108277,0.51308,1.2727963297843934,0.5478
9,1.3496200884246825,0.51504,1.2338088079452514,0.5602
10,1.3384253984069825,0.51992,1.2602990411758423,0.5414
11,1.3298793702697753,0.52298,1.2460808729171753,0.5535
12,1.3380408303070068,0.52314,1.201425923538208,0.5783
13,1.3282683892822265,0.52384,1.2300636964797973,0.5622
14,1.3240932238769532,0.5305,1.2329102926254272,0.5585
15,1.3172099641799926,0.53152,1.2063555044174195,0.5775
16,1.3192347250366212,0.53014,1.2183320951461791,0.5694
17,1.3198897607040405,0.5286,1.2268210130691528,0.5755
18,1.3245510208892821,0.52778,1.248089506149292,0.5589
19,1.3320170434570313,0.5294,1.2209409841537475,0.5715
20,1.3129964478302,0.53108,1.1870027980804443,0.5754
