epoch,train_loss,train_acc,test_loss,test_acc
1,1.9765228209686279,0.275,1.838960478782654,0.3317
2,1.7586317385482788,0.3564,1.5927722663879396,0.4192
3,1.7182956017303468,0.36878,1.6095290222167968,0.3962
4,1.6878443021011353,0.3778,1.5945830318450929,0.4209
5,1.6782778314971925,0.38232,1.4996938594818114,0.4596
6,1.6617775799560548,0.38782,1.5637247476577758,0.4273
7,1.6519146921920775,0.39274,1.4898227006912232,0.4477
8,1.6319190932846068,0.39776,1.4631493810653686,0.464
9,1.6271585168457032,0.39996,1.4658390745162964,0.4671
10,1.6192712731170655,0.40386,1.4798445970535279,0.4555
11,1.6236518589782716,0.4038,1.4518645431518555,0.4712
12,1.6256605269241333,0.39904,1.5097844490051269,0.4606
13,1.6252113864517213,0.4029,1.4985135524749755,0.4628
14,1.6405798107147216,0.40094,1.5247799369812012,0.4417
15,1.6137488632202148,0.40722,1.470830341720581,0.4691
16,1.6058656929779054,0.40896,1.4936083711624146,0.4535
17,1.609079775390625,0.4086,1.5095022733688355,0.4407
18,1.5937296617126464,0.41062,1.4561285724639892,0.4711
19,1.6145524578094483,0.40402,1.4767372095108031,0.4599
20,1.6014677686309815,0.4094,1.490078086090088,0.4439
