epoch,train_loss,train_acc,test_loss,test_acc
1,1.9782473403930665,0.2757,1.7940137519836425,0.3604
2,1.7881652750396728,0.34256,1.6846075788497925,0.383
3,1.7298297366714477,0.36016,1.6570421657562255,0.3849
4,1.701125471496582,0.36964,1.6060110397338867,0.4051
5,1.6930271649169921,0.3764,1.5627256288528442,0.4322
6,1.6890782552337646,0.3793,1.5718454141616822,0.4155
7,1.6894171588134765,0.37854,1.5689407793045045,0.4244
8,1.6838004080963134,0.37988,1.547055793952942,0.4361
9,1.6820043857192992,0.38108,1.5525554042816163,0.4266
10,1.6630719311523436,0.38704,1.5440392353057861,0.4309
11,1.6606243139266967,0.38634,1.5547804042816162,0.4306
12,1.6556413611602783,0.39148,1.5340405586242676,0.4356
13,1.6465564861679076,0.39404,1.5331555698394776,0.4422
14,1.6496008929824828,0.39452,1.5326438642501832,0.4355
15,1.6501564659881591,0.39042,1.5048745851516723,0.4526
16,1.638251790008545,0.39798,1.5019797897338867,0.4489
17,1.6597554596710204,0.38882,1.5088586767196654,0.4484
18,1.6430353671264648,0.39304,1.6406061777114869,0.3994
19,1.6456201574325562,0.39314,1.516061517906189,0.4483
20,1.6409141896820068,0.39418,1.4997223611831665,0.4508
