epoch,train_loss,train_acc,test_loss,test_acc
1,2.0717957442474364,0.23638,1.8070027614593507,0.3592
2,1.7711991034317016,0.35626,1.544959555053711,0.4336
3,1.6322058293914794,0.4069,1.4367220252990722,0.4826
4,1.5630220341491698,0.43416,1.37243994140625,0.5099
5,1.4982818214797973,0.45784,1.2836783926010131,0.5423
6,1.4538921988677977,0.47784,1.2316193922042846,0.5584
7,1.4066726916503907,0.4912,1.1759659088134766,0.5824
8,1.3719631880187988,0.51076,1.150549816131592,0.5948
9,1.3426129550933839,0.51988,1.1507357816696167,0.5881
10,1.3073690589904785,0.53344,1.0885456802368163,0.6235
11,1.2872175302124023,0.54074,1.0516377550125122,0.6285
12,1.266133660888672,0.54882,1.0233188526153565,0.6413
13,1.2529394985961915,0.55518,1.0078511615753174,0.6473
14,1.2264000122833252,0.56462,1.0189788675308227,0.6436
15,1.2245289393615724,0.56466,1.0103674605369568,0.6484
16,1.208251329650879,0.56842,0.9705223019599915,0.6642
17,1.1961261875534057,0.57536,1.0117724663734435,0.645
18,1.1778298877716065,0.58256,0.9588415849685669,0.6629
19,1.1742403998947144,0.58666,0.9755858589172364,0.657
20,1.165386855278015,0.58884,0.9380706154823303,0.6736
