epoch,train_loss,train_acc,test_loss,test_acc
1,2.0646032915878294,0.24374,1.7789719665527344,0.3856
2,1.7912192575454713,0.35524,1.4898719760894776,0.4649
3,1.6362936135864259,0.40798,1.4567605255126954,0.4622
4,1.5608094699859618,0.4355,1.400784787940979,0.4828
5,1.5062945654678346,0.45454,1.3043995948791505,0.5366
6,1.461043725013733,0.47552,1.266900797843933,0.5395
7,1.4183598426818849,0.49158,1.2215706317901611,0.5608
8,1.3873241466522217,0.50428,1.1732126100540161,0.5799
9,1.3462454842758178,0.51896,1.1159016653060914,0.6037
10,1.318895576210022,0.53132,1.0962340599060059,0.6135
11,1.2963881420516967,0.53832,1.1005984948158265,0.6157
12,1.2797832188796998,0.54426,1.0569532452583312,0.6221
13,1.2446794859695434,0.55496,1.0522931388854981,0.6303
14,1.2455195839691162,0.55828,1.0057928833007812,0.6474
15,1.2228796381378173,0.56634,0.9707541692733764,0.6583
16,1.2148502236175538,0.57112,0.9822790630340577,0.6548
17,1.1953229378509522,0.5769,0.992683217716217,0.6514
18,1.1797297177124024,0.5802,0.985902705192566,0.6521
19,1.1690457083892822,0.58446,0.951106063079834,0.6624
20,1.1595652348136902,0.59014,0.9662161799430847,0.6623
