epoch,train_loss,train_acc,test_loss,test_acc
1,2.004312101173401,0.2652,1.7232767820358277,0.3901
2,1.5482629161834718,0.44188,1.3712095808029174,0.5058
3,1.3661574739074707,0.51074,1.2661858087539672,0.5433
4,1.2579275118255615,0.55174,1.1585919318199158,0.5871
5,1.164323837776184,0.58694,1.1396800863265992,0.6003
6,1.092229642868042,0.61386,1.0896189386367798,0.6099
7,1.0241320381164551,0.63798,0.9922213355064392,0.6553
8,0.9711285202407837,0.65922,0.9600511573791504,0.662
9,0.9307016561889648,0.67076,0.9466310350418091,0.6742
10,0.8810099458122254,0.68936,0.9367870839118958,0.675
11,0.8454511882400513,0.70294,0.9090298080444336,0.6799
12,0.8024745466995239,0.71828,0.8979659676551819,0.6893
13,0.7719563391876221,0.72812,0.8994972805976867,0.688
14,0.7395517325782776,0.74026,0.8924659374237061,0.687
15,0.7045410289382935,0.7509,0.917015513420105,0.6827
16,0.6758938273620605,0.76374,0.8863575847625732,0.6987
17,0.6473090003585815,0.77248,0.8756544432640075,0.7049
18,0.6271680759048462,0.77752,0.897514891242981,0.6964
19,0.597278731880188,0.7895,0.8914299827575684,0.6974
20,0.5726878065681458,0.79906,0.8957463808059692,0.7017
