epoch,train_loss,train_acc,test_loss,test_acc
1,2.040701542739868,0.24942,1.7548002931594848,0.3775
2,1.6937445477676392,0.3859,1.5174737565994263,0.4468
3,1.5486173374176024,0.43744,1.4181810174942016,0.4884
4,1.4722703090286255,0.46892,1.3536616600036622,0.5155
5,1.4086143017578125,0.49256,1.2277663545608521,0.5603
6,1.3517387983322144,0.5127,1.245518007850647,0.5646
7,1.3047347919082641,0.52996,1.1440864992141724,0.5974
8,1.2650044574356079,0.54544,1.0812738724708557,0.6163
9,1.221998965034485,0.56412,1.0611048071861267,0.6208
10,1.1992827208709718,0.57162,1.02209319190979,0.6378
11,1.1627163088226318,0.58332,0.9875484481811524,0.6552
12,1.143350224761963,0.59006,0.9906831841468811,0.65
13,1.1313561878585816,0.59856,0.9684320789337159,0.6619
14,1.1073162591934205,0.60544,0.956348852443695,0.6635
15,1.0957912900161744,0.61112,0.9253881983757019,0.6747
16,1.0843125787353516,0.61314,0.9387169095993042,0.6678
17,1.0638633008003235,0.6221,0.9209315038681031,0.6751
18,1.044793717918396,0.63046,0.9019776906967163,0.6828
19,1.0394491952133178,0.63022,0.9281384669303894,0.6652
20,1.0273043719291688,0.63526,0.865586933708191,0.6961
